file,n_AC,n_AC_inGrid,n_cubes,max_dim
PDB\1a0b.cif,117,117,1848,2.9
PDB\1a0o.cif,785,785,56050,2.9
PDB\1a15.cif,124,124,2520,2.9
PDB\1a1n.cif,383,383,7820,2.9
PDB\1a3k.cif,137,137,1716,2.9
PDB\1a5f.cif,432,432,9072,2.9
PDB\1a5h.cif,518,518,13750,2.9
PDB\1a5s.cif,645,645,11220,2.9
PDB\1a6a.cif,378,378,8602,2.9
PDB\1a6q.cif,363,363,6912,2.9
PDB\1a75.cif,214,214,3888,2.9
PDB\1a7c.cif,374,374,6048,2.9
PDB\1a8i.cif,812,812,16200,2.9
PDB\1a8k.cif,396,396,6468,2.9
PDB\1a9n.cif,523,523,12012,2.9
PDB\1aa7.cif,315,315,5544,2.9
PDB\1aer.cif,400,400,8778,2.9
PDB\1ahe.cif,792,792,10608,2.9
PDB\1ai4.cif,763,763,12350,2.9
PDB\1aka.cif,802,802,13640,2.9
PDB\1aks.cif,223,223,2704,2.9
PDB\1ao6.cif,1156,1156,23625,2.9
PDB\1ap5.cif,396,396,7680,2.9
PDB\1aqz.cif,285,285,7752,2.9
PDB\1as4.cif,369,369,6800,2.9
PDB\1at3.cif,434,434,6630,2.9
PDB\1aui.cif,543,543,13020,2.9
PDB\1axd.cif,420,420,6137,2.9
PDB\1ay9.cif,216,216,7440,2.9
PDB\1azn.cif,512,512,9720,2.9
PDB\1b2r.cif,295,295,5508,2.9
PDB\1b6b.cif,324,324,6840,2.9
PDB\1bbn.cif,133,133,1989,2.9
PDB\1bm7.cif,228,228,3808,2.9
PDB\1bmt.cif,492,492,8820,2.9
PDB\1bp3.cif,383,383,10868,2.9
PDB\1bqs.cif,209,209,8075,2.9
PDB\1bw0.cif,823,823,13640,2.9
PDB\1c2b.cif,539,539,9522,2.9
PDB\1c7z.cif,382,382,7360,2.9
PDB\1ckl.cif,756,756,21952,2.9
PDB\1cm0.cif,323,323,6552,2.9
PDB\1cn4.cif,589,589,15444,2.9
PDB\1de7.cif,572,572,14352,2.9
PDB\1dt3.cif,538,538,11960,2.9
PDB\1dug.cif,468,468,7200,2.9
PDB\1ehk.cif,743,743,11400,2.9
PDB\1ek5.cif,346,346,4788,2.9
